epoch,min,max,mean
0,8.24,12.37,9.872
1,31.5,35.3,34.230000000000004
2,39.31,40.19,39.706
3,42.65,44.0,43.572
4,44.78,46.21,45.294
5,46.25,47.17,46.760000000000005
6,47.79,48.17,47.980000000000004
7,48.63,49.38,48.958
8,49.44,50.08,49.736
9,49.77,50.77,50.34400000000001
10,50.77,51.17,50.948
11,51.28,51.73,51.458000000000006
12,51.75,52.52,52.144000000000005
13,52.38,53.33,52.772000000000006
14,52.42,53.25,52.826
15,52.8,53.66,53.257999999999996
16,52.46,53.23,52.8
17,52.57,53.89,53.352
18,53.03,54.05,53.474000000000004
19,53.3,54.68,53.760000000000005
20,53.27,53.82,53.522000000000006
21,53.38,54.53,54.012
22,53.97,54.67,54.227999999999994
23,53.67,54.57,54.209999999999994
24,53.58,54.41,54.068000000000005
25,53.31,54.93,54.001999999999995
26,53.47,54.73,53.996
27,53.92,54.47,54.162
28,53.52,54.74,54.09400000000001
29,54.02,54.67,54.28800000000001
30,53.72,54.35,54.062
31,52.87,54.77,53.884
32,53.17,54.54,54.138
33,53.42,54.97,54.092
34,54.0,54.5,54.327999999999996
35,53.3,54.75,54.23599999999999
36,52.9,54.81,53.94199999999999
37,53.54,54.39,53.943999999999996
38,53.19,54.83,54.089999999999996
39,52.98,54.42,53.843999999999994
40,53.76,55.03,54.448
41,53.97,55.0,54.395999999999994
42,53.66,54.58,54.198
43,53.67,55.14,54.45400000000001
44,54.15,55.24,54.581999999999994
45,53.69,54.95,54.234
46,53.96,54.83,54.236000000000004
47,53.42,54.66,54.0
48,52.08,55.15,53.92199999999999
49,53.13,55.43,54.298
50,52.32,54.49,53.734
51,53.56,54.66,54.208000000000006
52,52.41,54.48,53.898
53,53.56,54.55,54.05
54,52.72,54.9,53.803999999999995
55,52.04,54.21,53.682
56,53.68,54.63,54.06600000000001
57,52.62,54.53,53.646
58,50.73,54.77,53.513999999999996
59,52.62,55.03,53.88000000000001
60,52.2,55.06,54.056000000000004
61,53.01,54.37,53.751999999999995
62,52.93,54.72,54.05
63,52.77,55.02,53.94
64,52.73,54.94,53.758
65,52.62,54.59,53.803999999999995
66,53.19,54.55,53.784000000000006
67,53.0,54.77,53.972
68,53.03,54.3,53.774
69,53.04,54.79,53.878
70,52.28,54.49,53.666
71,52.14,54.33,53.379999999999995
72,50.79,54.37,53.306
73,53.13,54.07,53.593999999999994
74,53.76,54.43,54.098
75,53.67,54.54,54.16799999999999
76,53.6,54.2,53.918000000000006
77,53.39,54.49,54.05400000000001
78,53.64,54.7,54.156000000000006
79,53.3,54.44,53.878
80,53.36,54.78,53.938
81,48.23,54.72,52.85
82,45.48,54.52,52.31600000000001
83,49.81,54.63,53.15599999999999
84,50.92,54.69,53.358000000000004
85,53.41,54.72,54.016
86,53.46,54.66,54.01800000000001
87,53.06,54.57,53.874
88,53.23,54.65,53.974000000000004
89,53.23,54.5,53.94199999999999
90,53.08,54.66,53.982000000000006
91,50.25,54.6,53.226
92,50.97,54.72,53.58
93,50.73,54.35,53.34400000000001
94,52.24,54.5,53.758
95,52.44,54.75,53.726
96,52.96,54.38,53.952
97,53.27,54.45,53.874
98,53.39,54.31,53.91199999999999
99,53.03,54.41,53.989999999999995
100,52.53,54.56,53.88000000000001
