epoch,min,max,mean
0,6.64,13.04,9.812
1,78.77,83.21,80.584
2,84.9,87.51,86.40899999999999
3,86.59,89.73,88.64199999999998
4,89.74,91.05,90.28799999999998
5,91.23,91.94,91.636
6,91.99,92.68,92.41199999999999
7,92.93,93.35,93.11699999999999
8,93.39,93.9,93.72099999999999
9,94.11,94.38,94.25999999999999
10,94.43,94.86,94.681
11,94.9,95.24,95.048
12,95.13,95.52,95.325
13,95.35,95.76,95.62100000000001
14,95.71,96.07,95.862
15,95.9,96.3,96.135
16,96.19,96.48,96.331
17,96.31,96.74,96.506
18,96.57,96.78,96.658
19,96.62,96.94,96.783
20,96.63,97.15,96.873
21,96.83,97.16,96.989
22,96.81,97.23,97.029
23,97.02,97.35,97.186
24,97.07,97.37,97.24499999999998
25,97.1,97.42,97.30999999999999
26,97.17,97.48,97.36200000000001
27,97.16,97.55,97.36800000000001
28,97.29,97.61,97.46400000000001
29,97.26,97.6,97.475
30,97.37,97.69,97.533
31,97.42,97.73,97.58099999999999
32,97.5,97.77,97.628
33,97.43,97.75,97.61000000000001
34,97.52,97.8,97.64699999999999
35,97.55,97.82,97.684
36,97.53,97.82,97.68699999999998
37,97.6,97.88,97.721
38,97.61,97.93,97.75299999999999
39,97.58,97.97,97.749
40,97.65,97.94,97.764
41,97.7,97.94,97.79599999999999
42,97.63,97.92,97.795
43,97.66,97.96,97.79899999999998
44,97.71,97.95,97.80300000000003
45,97.7,97.98,97.83600000000001
46,97.74,98.01,97.84400000000001
47,97.67,98.02,97.842
48,97.74,98.02,97.88
49,97.75,98.04,97.87899999999999
50,97.76,98.01,97.87899999999999
51,97.76,98.11,97.90299999999999
52,97.76,98.04,97.895
53,97.79,98.06,97.9
54,97.77,98.07,97.90299999999999
55,97.78,98.09,97.939
56,97.84,98.13,97.95899999999999
57,97.8,98.09,97.93599999999999
58,97.85,98.08,97.94999999999999
59,97.83,98.12,97.963
60,97.87,98.12,97.96
61,97.83,98.12,97.96099999999998
62,97.83,98.15,97.96900000000001
63,97.83,98.14,97.96699999999998
64,97.86,98.1,97.973
65,97.83,98.09,97.959
66,97.88,98.15,97.987
67,97.86,98.2,97.98500000000001
68,97.83,98.17,97.978
69,97.86,98.17,97.987
70,97.88,98.17,97.991
71,97.81,98.19,97.985
72,97.82,98.08,97.978
73,97.83,98.16,97.99300000000001
74,97.83,98.17,98.001
75,97.87,98.18,97.98499999999999
76,97.84,98.21,97.99499999999999
77,97.87,98.19,98.00200000000001
78,97.87,98.22,98.02000000000001
79,97.86,98.18,97.991
80,97.86,98.19,98.012
81,97.85,98.19,97.999
82,97.82,98.15,97.999
83,97.88,98.13,98.007
84,97.86,98.17,98.002
85,97.86,98.15,97.99799999999999
86,97.85,98.2,98.02000000000001
87,97.9,98.16,98.01499999999999
88,97.85,98.17,98.01599999999999
89,97.87,98.18,98.006
90,97.87,98.19,98.01899999999999
91,97.86,98.17,98.006
92,97.85,98.18,98.02000000000001
93,97.88,98.14,98.002
94,97.85,98.14,98.01
95,97.88,98.17,98.01199999999999
96,97.84,98.21,98.018
97,97.85,98.22,98.01400000000001
98,97.85,98.2,97.99900000000001
99,97.85,98.19,98.015
100,97.85,98.22,98.025
