epoch,min,max,mean
0,6.64,13.04,9.812
1,58.09,72.76,65.754
2,65.01,76.6,70.95599999999999
3,71.4,79.91,77.10400000000001
4,76.79,82.32,79.516
5,76.7,82.38,79.57700000000001
6,78.11,83.63,80.635
7,80.07,83.09,81.64800000000001
8,78.3,85.34,82.75500000000001
9,82.38,85.99,84.326
10,84.63,86.9,85.76299999999999
11,85.13,87.5,86.27099999999999
12,85.34,87.25,86.601
13,84.11,87.69,86.86099999999999
14,84.18,88.17,87.06199999999998
15,85.17,88.52,87.32000000000001
16,86.41,88.94,87.91600000000001
17,87.44,89.21,88.43199999999999
18,87.63,89.61,88.84100000000001
19,87.47,89.85,89.029
20,87.61,90.1,89.14099999999999
21,88.4,90.19,89.37699999999998
22,88.84,90.4,89.883
23,89.62,90.64,90.345
24,90.48,90.95,90.663
25,90.49,91.0,90.87100000000001
26,90.77,91.24,90.98999999999998
27,90.83,91.42,91.14999999999999
28,91.03,91.55,91.34199999999998
29,91.41,91.78,91.564
30,91.51,92.03,91.75399999999999
31,91.56,92.21,91.874
32,91.69,92.31,92.00399999999999
33,91.85,92.43,92.14200000000001
34,92.03,92.68,92.309
35,92.18,92.65,92.41
36,92.3,92.71,92.50699999999999
37,92.46,92.88,92.61600000000001
38,92.67,93.05,92.78
39,92.82,93.21,92.956
40,92.91,93.34,93.08600000000001
41,93.04,93.42,93.202
42,93.14,93.54,93.313
43,93.28,93.57,93.427
44,93.36,93.66,93.50199999999998
45,93.38,93.81,93.59100000000001
46,93.51,93.9,93.67599999999999
47,93.6,93.99,93.779
48,93.72,94.09,93.883
49,93.86,94.16,93.984
50,93.92,94.27,94.07300000000001
51,93.99,94.4,94.18199999999999
52,94.05,94.52,94.27799999999999
53,94.23,94.54,94.37300000000002
54,94.21,94.68,94.46100000000001
55,94.31,94.74,94.55600000000001
56,94.44,94.82,94.633
57,94.58,94.96,94.72099999999999
58,94.66,95.0,94.782
59,94.7,95.14,94.86699999999999
60,94.81,95.17,94.945
61,94.83,95.19,94.99499999999999
62,94.9,95.28,95.056
63,94.96,95.33,95.114
64,95.04,95.39,95.169
65,95.07,95.43,95.214
66,95.12,95.44,95.28000000000002
67,95.18,95.55,95.359
68,95.23,95.55,95.39699999999998
69,95.27,95.63,95.44999999999997
70,95.35,95.7,95.509
71,95.44,95.7,95.564
72,95.49,95.81,95.62899999999999
73,95.57,95.86,95.69
74,95.63,95.9,95.728
75,95.68,95.95,95.797
76,95.73,95.95,95.846
77,95.75,95.98,95.89200000000001
78,95.78,96.0,95.936
79,95.85,96.1,95.99
80,95.94,96.2,96.04399999999998
81,95.97,96.2,96.088
82,96.01,96.22,96.13000000000001
83,96.05,96.28,96.167
84,96.14,96.33,96.204
85,96.16,96.4,96.261
86,96.16,96.46,96.294
87,96.18,96.48,96.317
88,96.22,96.5,96.35000000000001
89,96.29,96.54,96.39200000000001
90,96.33,96.57,96.425
91,96.36,96.6,96.46
92,96.42,96.6,96.49400000000001
93,96.44,96.61,96.52900000000001
94,96.47,96.68,96.56300000000002
95,96.51,96.69,96.588
96,96.53,96.73,96.61999999999998
97,96.55,96.79,96.65099999999998
98,96.6,96.82,96.69600000000001
99,96.62,96.86,96.727
100,96.65,96.86,96.75800000000001
