epoch,min,max,mean
0,9.2,10.96,10.09
1,41.51,43.43,42.488
2,45.15,46.45,45.906
3,47.14,48.19,47.696
4,48.38,49.47,48.976
5,49.36,50.43,49.734
6,50.32,51.44,50.934000000000005
7,50.77,51.66,51.178000000000004
8,51.36,52.26,51.754
9,51.99,52.65,52.220000000000006
10,52.28,52.89,52.524
11,52.62,53.24,52.82000000000001
12,52.76,53.54,53.178
13,53.16,53.43,53.279999999999994
14,53.15,53.41,53.3
15,53.28,53.73,53.522000000000006
16,53.54,53.92,53.724000000000004
17,53.68,54.12,53.94
18,54.07,54.35,54.17999999999999
19,53.53,54.23,53.974000000000004
20,53.88,54.38,54.081999999999994
21,53.65,54.25,53.86400000000001
22,53.83,54.32,54.088
23,54.09,54.33,54.17
24,54.03,54.54,54.398
25,53.93,54.25,54.144000000000005
26,53.93,54.41,54.274
27,53.97,54.54,54.202
28,54.14,54.86,54.488
29,54.38,54.85,54.632000000000005
30,54.24,54.9,54.553999999999995
31,54.16,54.77,54.532000000000004
32,54.53,54.84,54.622
33,54.43,55.03,54.712
34,54.32,54.89,54.604
35,54.21,54.72,54.378
36,54.57,54.82,54.65
37,54.57,54.81,54.658
38,54.42,54.79,54.589999999999996
39,54.24,54.76,54.574
40,54.34,55.11,54.7
41,54.36,54.66,54.532
42,54.31,54.69,54.512
43,53.91,54.53,54.262
44,54.28,54.73,54.48
45,54.09,54.69,54.398
46,54.41,54.69,54.56
47,54.6,54.9,54.738
48,54.54,54.98,54.739999999999995
49,54.24,54.69,54.49400000000001
50,54.47,54.81,54.652
51,54.37,54.53,54.472
52,54.39,54.66,54.498000000000005
53,54.35,54.51,54.42999999999999
54,54.37,54.81,54.602
55,54.22,54.54,54.372
56,54.44,54.75,54.553999999999995
57,54.3,54.96,54.592000000000006
58,54.31,54.73,54.48
59,54.47,54.64,54.54599999999999
60,54.28,55.02,54.58599999999999
61,54.17,54.9,54.4
62,54.24,54.66,54.42999999999999
63,54.15,54.6,54.33
64,54.38,54.99,54.61999999999999
65,54.17,54.74,54.372
66,54.12,54.75,54.36999999999999
67,53.99,54.63,54.236000000000004
68,54.1,54.62,54.396
69,54.26,54.65,54.455999999999996
70,54.1,54.74,54.33200000000001
71,53.91,54.56,54.294
72,54.13,54.62,54.30799999999999
73,54.18,54.55,54.384
74,54.01,54.48,54.209999999999994
75,54.1,54.65,54.282
76,54.02,54.47,54.278
77,53.68,54.67,54.134
78,54.04,54.59,54.362
79,54.02,54.5,54.25600000000001
80,54.01,54.67,54.354
81,54.05,54.42,54.16200000000001
82,53.78,54.47,54.084
83,53.94,54.48,54.16799999999999
84,53.87,54.33,54.064
85,53.66,54.39,54.11
86,54.0,54.56,54.164
87,53.75,54.73,54.31199999999999
88,53.68,54.34,54.105999999999995
89,53.33,54.75,54.032000000000004
90,53.65,54.36,54.07000000000001
91,53.71,54.36,53.948
92,53.73,54.65,54.126
93,53.62,54.64,54.0
94,53.58,54.51,54.116
95,53.72,54.5,54.092000000000006
96,53.86,54.44,54.178
97,53.78,54.31,53.95400000000001
98,53.46,54.61,54.104
99,53.9,54.39,54.07000000000001
100,53.35,54.45,53.96400000000001
