epoch,min,max,mean
0,6.64,13.04,9.812
1,83.16,86.3,84.482
2,84.56,90.74,87.287
3,88.28,93.06,91.07400000000001
4,91.94,94.17,92.92800000000001
5,93.37,94.93,94.001
6,94.19,95.33,94.72
7,94.8,95.8,95.245
8,95.17,96.06,95.622
9,95.54,96.32,95.984
10,95.92,96.51,96.251
11,96.24,96.87,96.57000000000001
12,96.51,96.97,96.74099999999999
13,96.63,97.1,96.881
14,96.84,97.34,97.091
15,96.93,97.44,97.18800000000002
16,97.11,97.53,97.29499999999999
17,97.17,97.65,97.41100000000002
18,97.28,97.63,97.422
19,97.26,97.58,97.48499999999999
20,97.31,97.72,97.53500000000001
21,97.38,97.79,97.621
22,97.52,97.84,97.661
23,97.47,97.83,97.688
24,97.61,97.8,97.703
25,97.62,97.87,97.749
26,97.62,97.87,97.772
27,97.66,97.92,97.792
28,97.59,97.92,97.82
29,97.71,98.0,97.844
30,97.79,98.02,97.868
31,97.77,97.97,97.88
32,97.79,97.98,97.88900000000001
33,97.81,98.06,97.941
34,97.8,98.02,97.942
35,97.85,98.1,97.94700000000002
36,97.84,98.03,97.93300000000002
37,97.78,98.06,97.942
38,97.84,98.06,97.987
39,97.83,98.08,97.99600000000001
40,97.95,98.09,97.999
41,97.86,98.13,98.023
42,97.83,98.12,98.001
43,97.88,98.13,98.01399999999998
44,97.92,98.1,98.01400000000001
45,97.83,98.09,98.013
46,97.95,98.11,98.042
47,97.85,98.11,98.03999999999999
48,97.91,98.15,98.066
49,97.88,98.17,98.062
50,97.91,98.14,98.06299999999999
51,97.87,98.19,98.057
52,97.92,98.14,98.07200000000003
53,97.9,98.19,98.065
54,97.88,98.23,98.07500000000002
55,97.9,98.21,98.097
56,97.94,98.16,98.092
57,97.99,98.15,98.095
58,97.99,98.2,98.105
59,97.97,98.22,98.13300000000001
60,97.91,98.28,98.10499999999999
61,98.05,98.24,98.14699999999999
62,98.05,98.26,98.159
63,97.99,98.29,98.14699999999999
64,98.06,98.25,98.181
65,98.05,98.23,98.153
66,98.02,98.25,98.15499999999999
67,98.05,98.27,98.16199999999999
68,98.02,98.28,98.167
69,98.01,98.26,98.17800000000001
70,98.01,98.26,98.18300000000002
71,97.98,98.34,98.18900000000002
72,97.97,98.32,98.18800000000002
73,97.96,98.3,98.176
74,98.03,98.27,98.186
75,98.02,98.24,98.167
76,97.96,98.29,98.174
77,98.05,98.25,98.191
78,98.04,98.29,98.205
79,98.03,98.28,98.18500000000002
80,98.07,98.28,98.18700000000001
81,98.04,98.28,98.185
82,98.01,98.25,98.178
83,98.08,98.29,98.19299999999998
84,98.03,98.33,98.19999999999999
85,98.11,98.34,98.206
86,98.05,98.29,98.187
87,98.04,98.32,98.202
88,98.1,98.27,98.197
89,98.07,98.32,98.19500000000001
90,98.0,98.35,98.20100000000001
91,98.11,98.31,98.20200000000003
92,98.12,98.32,98.21200000000002
93,98.06,98.32,98.20000000000002
94,98.11,98.29,98.203
95,98.06,98.32,98.194
96,98.08,98.29,98.193
97,98.11,98.34,98.215
98,98.06,98.33,98.19999999999999
99,98.09,98.3,98.19299999999998
100,98.04,98.26,98.20400000000002
