epoch,min,max,mean
0,6.64,13.04,9.812
1,17.55,64.73,41.29800000000001
2,61.4,74.67,70.70599999999999
3,60.42,75.59,71.588
4,65.51,80.25,74.03
5,67.55,82.64,75.41399999999999
6,69.42,83.16,76.49
7,70.71,83.49,77.26899999999999
8,64.64,84.49,76.81899999999999
9,70.58,84.51,77.812
10,72.95,84.16,79.357
11,74.89,85.22,79.545
12,76.61,85.64,80.65299999999999
13,77.52,85.77,80.907
14,77.05,85.69,81.311
15,77.45,88.34,82.35900000000001
16,76.63,88.77,82.54599999999999
17,77.54,89.02,82.998
18,77.71,89.07,83.43800000000002
19,78.4,89.16,84.66299999999998
20,78.38,89.17,84.501
21,78.4,89.18,84.62500000000001
22,78.4,89.23,84.74300000000001
23,80.1,89.25,84.44
24,80.39,89.29,85.189
25,80.87,89.73,85.20400000000001
26,81.03,89.73,85.204
27,81.14,89.78,85.923
28,81.31,92.07,86.42200000000001
29,81.49,92.3,86.664
30,81.6,92.35,86.65
31,83.21,92.33,87.045
32,83.61,92.35,86.976
33,84.57,92.56,87.362
34,83.12,92.59,87.18299999999999
35,83.24,92.68,87.553
36,83.34,92.74,87.679
37,83.41,92.79,87.81500000000001
38,83.96,92.84,88.09700000000001
39,84.26,92.87,88.27199999999999
40,84.58,92.84,88.31000000000002
41,84.82,92.89,88.452
42,85.05,92.91,88.51100000000001
43,85.12,92.97,88.88600000000001
44,85.29,93.2,89.12800000000001
45,85.3,93.23,89.475
46,85.36,93.27,89.74100000000001
47,86.5,93.34,90.21
48,86.52,93.36,90.455
49,84.79,93.39,90.39099999999999
50,84.88,93.4,90.513
51,84.96,93.4,90.58899999999998
52,85.09,93.42,90.833
53,85.17,93.41,90.91900000000001
54,86.19,93.54,91.184
55,86.24,93.56,91.23
56,86.25,93.56,91.348
57,86.1,93.56,91.387
58,86.21,93.97,91.509
59,86.25,93.99,91.53299999999999
60,86.65,94.5,91.813
61,86.8,94.5,91.84599999999998
62,87.33,94.54,92.239
63,87.36,94.72,92.354
64,87.39,94.69,92.42999999999999
65,87.8,94.75,92.49300000000001
66,87.84,94.79,92.555
67,87.86,94.8,92.77099999999999
68,87.87,94.82,92.855
69,87.88,94.82,92.927
70,87.89,94.82,92.942
71,87.91,95.23,93.083
72,87.94,95.44,93.10900000000001
73,87.98,95.32,93.14100000000002
74,88.0,95.39,93.18
75,88.04,95.4,93.225
76,88.09,95.42,93.256
77,88.07,95.4,93.256
78,88.07,95.42,93.26800000000001
79,88.06,95.46,93.288
80,88.07,95.48,93.32899999999998
81,88.07,95.5,93.366
82,88.05,95.55,93.416
83,88.09,95.57,93.447
84,88.08,95.59,93.555
85,88.09,95.82,93.601
86,88.12,95.78,93.596
87,88.07,95.81,93.619
88,88.2,95.98,93.68900000000001
89,88.19,96.06,93.70900000000002
90,88.16,96.1,93.72299999999998
91,88.19,96.09,93.741
92,88.27,96.1,93.85
93,88.29,96.12,93.885
94,88.28,96.14,93.976
95,89.17,96.15,94.08800000000001
96,89.19,96.23,94.138
97,89.24,96.23,94.179
98,89.2,96.21,94.221
99,89.14,96.23,94.23
100,89.29,96.36,94.234
